GAge	GCity	GCity_X	GCity_Y	GSex	GState	ID_LM	PersonNights	QCulture	QFood	QRoom	QSatisfaction	QService	SaturdayNights	Season	VFrom	VNights	VPersons	VPriceDeduction	VPriceFood	VPriceRoom	VPriceTotal	VTypeOfVisit	WSky	WTemperature	XEUR
28	Dresden	13.7397044	51.0497456	male	Germany	19	21	52	55	42	average	57	-1	-1	2012-02-04 00:00:00	7	3	200	3150	25410	28360	private	sunny	0.8	25.07
49	Salzburg	13.0475658	47.798095	female	Austria	20	14	63	66	36	average	44	-1	-1	2012-02-04 00:00:00	7	2	200	2100	16940	18840	private	sunny	0.8	25.07
56	Linz	14.2862742	48.3066489	female	Austria	21	21	50	67	42	average	71	-1	-1	2012-02-04 00:00:00	7	3	200	3150	25410	28360	private	sunny	0.8	25.07
62	Linz	14.2862742	48.3066489	female	Austria	22	28	45	66	25	average	42	-1	-1	2012-02-04 00:00:00	7	4	200	4200	33880	37880	private	sunny	0.8	25.07
71	Dresden	13.7397044	51.0497456	male	Germany	23	21	52	98	90	high	90	-1	-1	2012-02-08 00:00:00	21	1	200	3150	25410	28360	private	rain/snow	5.0	24.8
65	Dresden	13.7397044	51.0497456	female	Germany	24	8	60	57	52	average	45	-1	-1	2012-02-10 00:00:00	2	4	200	1200	9680	10680	private	rain/snow	14.0	25.25
28	Praha	14.4212806	50.0874967	female	CR	25	42	46	40	13	low	37	-1	-1	2012-02-10 00:00:00	14	3	200	6300	50820	56920	private	rain/snow	14.0	25.25
43	Salzburg	13.0475658	47.798095	male	Austria	26	28	36	42	43	average	59	-1	-1	2012-02-10 00:00:00	7	4	200	4200	33880	37880	private	rain/snow	14.0	25.25
25	Praha	14.4212806	50.0874967	male	CR	27	56	2	31	16	low	28	-1	-1	2012-02-10 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	14.0	25.25
40	Bratislava	17.1097606	48.1547933	female	Slovakia	28	4	50	68	58	average	69	-1	-1	2012-02-10 00:00:00	2	2	200	600	4840	5240	private	rain/snow	14.0	25.25
66	Dresden	13.7397044	51.0497456	male	Germany	29	7	64	44	43	average	45	-1	-1	2012-02-10 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	14.0	25.25
24	Wien	16.3736767	48.2115631	female	Austria	30	21	33	67	42	average	72	-1	-1	2012-02-10 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	14.0	25.25
24	Dresden	13.7397044	51.0497456	female	Germany	31	14	34	55	50	average	72	-1	-1	2012-02-10 00:00:00	7	2	200	2100	16940	18840	private	rain/snow	14.0	25.25
82	Bratislava	17.1097606	48.1547933	female	Slovakia	32	4	64	68	49	average	53	-1	-1	2012-02-10 00:00:00	2	2	200	600	4840	5240	private	rain/snow	14.0	25.25
30	Bratislava	17.1097606	48.1547933	female	Slovakia	33	4	64	58	33	average	59	-1	-1	2012-02-10 00:00:00	2	2	200	0	4840	4640	private	rain/snow	14.0	25.25
53	Wien	16.3736767	48.2115631	male	Austria	34	2	50	44	42	average	54	0	-1	2012-02-13 00:00:00	1	2	0	0	2420	2420	business	rain/snow	6.8	25.05
65	Pardubice	15.780415	50.0409775	female	CR	35	2	33	55	26	average	53	0	-1	2012-02-13 00:00:00	1	2	0	300	2420	2720	business	rain/snow	6.8	25.05
38	Pardubice	15.780415	50.0409775	male	CR	36	2	62	58	27	average	56	0	-1	2012-02-13 00:00:00	1	2	0	300	2420	2720	business	rain/snow	6.8	25.05
65	Nitra	18.0902903	48.3139558	female	Slovakia	37	3	56	89	85	high	64	0	-1	2012-02-15 00:00:00	1	3	0	450	3630	4080	business	cloudy	12.9	25.19
29	Dresden	13.7397044	51.0497456	male	Germany	38	63	58	91	92	high	100	-1	-1	2012-02-15 00:00:00	21	3	200	9450	76230	85480	private	cloudy	12.9	25.19
80	Hradec Králové	15.8353464	50.2100194	male	CR	39	63	22	89	89	high	86	-1	-1	2012-02-15 00:00:00	21	3	200	0	76230	76030	private	cloudy	12.9	25.19
81	Salzburg	13.0475658	47.798095	female	Austria	40	63	56	96	81	high	63	-1	-1	2012-02-15 00:00:00	21	3	200	9450	76230	85480	private	cloudy	12.9	25.19
74	Wien	16.3736767	48.2115631	female	Austria	41	84	51	87	97	high	91	-1	-1	2012-02-15 00:00:00	21	4	200	12600	101640	114040	private	cloudy	12.9	25.19
80	Hradec Králové	15.8353464	50.2100194	female	CR	42	21	57	81	88	high	85	-1	-1	2012-02-15 00:00:00	21	1	200	0	25410	25210	private	cloudy	12.9	25.19
38	Nitra	18.0902903	48.3139558	male	Slovakia	43	2	49	91	85	high	86	0	-1	2012-02-15 00:00:00	1	2	0	300	2420	2720	business	cloudy	12.9	25.19
39	Liberec	15.0663036	50.7709239	female	CR	44	2	60	85	84	high	61	0	-1	2012-02-15 00:00:00	1	2	0	300	2420	2720	business	cloudy	12.9	25.19
75	Linz	14.2862742	48.3066489	male	Austria	45	2	60	85	99	high	85	0	-1	2012-02-16 00:00:00	1	2	0	0	2420	2420	business	cloudy	13.2	25.27
53	Linz	14.2862742	48.3066489	male	Austria	46	2	55	82	86	high	85	0	-1	2012-02-16 00:00:00	1	2	0	300	2420	2720	business	cloudy	13.2	25.27
70	Praha	14.4212806	50.0874967	female	CR	47	56	48	38	14	low	38	-1	-1	2012-02-17 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	13.4	25.0
35	Dresden	13.7397044	51.0497456	male	Germany	48	8	45	41	43	average	60	-1	-1	2012-02-17 00:00:00	2	4	200	0	9680	9480	private	rain/snow	13.4	25.0
39	Dresden	13.7397044	51.0497456	male	Germany	49	14	35	49	26	average	43	-1	-1	2012-02-17 00:00:00	7	2	200	0	16940	16740	private	rain/snow	13.4	25.0
25	Wien	16.3736767	48.2115631	female	Austria	50	21	52	44	51	average	43	-1	-1	2012-02-17 00:00:00	7	3	200	0	25410	25210	private	rain/snow	13.4	25.0
55	Dresden	13.7397044	51.0497456	female	Germany	51	8	47	66	52	average	46	-1	-1	2012-02-17 00:00:00	2	4	200	1200	9680	10680	private	rain/snow	13.4	25.0
19	Dresden	13.7397044	51.0497456	female	Germany	52	4	50	57	35	average	72	-1	-1	2012-02-17 00:00:00	2	2	200	600	4840	5240	private	rain/snow	13.4	25.0
77	Praha	14.4212806	50.0874967	male	CR	53	56	72	34	39	low	27	-1	-1	2012-02-17 00:00:00	14	4	200	0	67760	67560	private	rain/snow	13.4	25.0
71	Wien	16.3736767	48.2115631	male	Austria	54	14	60	60	25	average	41	-1	-1	2012-02-17 00:00:00	7	2	200	0	16940	16740	private	rain/snow	13.4	25.0
22	Dresden	13.7397044	51.0497456	female	Germany	55	8	33	54	44	average	59	-1	-1	2012-02-17 00:00:00	2	4	200	1200	9680	10680	private	rain/snow	13.4	25.0
21	Dresden	13.7397044	51.0497456	male	Germany	56	7	60	54	26	average	72	-1	-1	2012-02-17 00:00:00	7	1	200	0	8470	8270	private	rain/snow	13.4	25.0
43	Wien	16.3736767	48.2115631	male	Austria	57	21	64	53	34	average	41	-1	-1	2012-02-17 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	13.4	25.0
70	Praha	14.4212806	50.0874967	male	CR	58	56	40	39	16	low	40	-1	-1	2012-02-17 00:00:00	14	4	200	0	67760	67560	private	rain/snow	13.4	25.0
36	Salzburg	13.0475658	47.798095	male	Austria	59	4	47	67	27	average	59	-1	-1	2012-02-17 00:00:00	2	2	200	600	4840	5240	private	rain/snow	13.4	25.0
71	Bratislava	17.1097606	48.1547933	male	Slovakia	60	4	57	58	26	average	55	-1	-1	2012-02-17 00:00:00	2	2	200	0	4840	4640	private	rain/snow	13.4	25.0
35	Dresden	13.7397044	51.0497456	male	Germany	61	14	47	68	41	average	53	-1	-1	2012-02-17 00:00:00	7	2	200	2100	16940	18840	private	rain/snow	13.4	25.0
45	Wien	16.3736767	48.2115631	female	Austria	62	7	49	65	41	average	72	-1	-1	2012-02-17 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	13.4	25.0
44	Dresden	13.7397044	51.0497456	female	Germany	63	14	48	53	34	average	53	-1	-1	2012-02-17 00:00:00	7	2	200	0	16940	16740	private	rain/snow	13.4	25.0
50	Bratislava	17.1097606	48.1547933	male	Slovakia	64	4	64	41	58	average	42	-1	-1	2012-02-17 00:00:00	2	2	200	600	4840	5240	private	rain/snow	13.4	25.0
19	Praha	14.4212806	50.0874967	female	CR	65	56	53	26	23	low	15	-1	-1	2012-02-17 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	13.4	25.0
70	Dresden	13.7397044	51.0497456	male	Germany	66	8	34	59	25	average	71	-1	-1	2012-02-17 00:00:00	2	4	200	1200	9680	10680	private	rain/snow	13.4	25.0
73	Praha	14.4212806	50.0874967	female	CR	67	56	45	27	39	low	40	-1	-1	2012-02-17 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	13.4	25.0
45	Dresden	13.7397044	51.0497456	male	Germany	68	56	55	39	30	low	16	-1	-1	2012-02-17 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	13.4	25.0
20	Wien	16.3736767	48.2115631	male	Austria	69	7	36	67	57	average	42	-1	-1	2012-02-17 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	13.4	25.0
31	Dresden	13.7397044	51.0497456	male	Germany	70	4	61	53	50	average	69	-1	-1	2012-02-17 00:00:00	2	2	200	600	4840	5240	private	rain/snow	13.4	25.0
75	Praha	14.4212806	50.0874967	female	CR	71	56	38	40	37	low	14	-1	-1	2012-02-17 00:00:00	14	4	200	8400	67760	75960	private	rain/snow	13.4	25.0
21	Zlín	17.6700633	49.2280669	male	CR	72	14	45	55	44	average	71	-1	-1	2012-02-17 00:00:00	7	2	200	2100	16940	18840	private	rain/snow	13.4	25.0
33	Wien	16.3736767	48.2115631	male	Austria	73	21	33	52	51	average	45	-1	-1	2012-02-17 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	13.4	25.0
32	Wien	16.3736767	48.2115631	male	Austria	74	21	34	53	43	average	59	-1	-1	2012-02-17 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	13.4	25.0
33	Pardubice	15.780415	50.0409775	male	CR	75	2	47	66	59	average	60	0	-1	2012-02-20 00:00:00	1	2	0	300	2420	2720	business	sunny	10.9	24.91
65	Dresden	13.7397044	51.0497456	female	Germany	76	4	61	60	43	average	43	0	-1	2012-02-20 00:00:00	2	2	0	600	4840	5440	private	sunny	10.9	24.91
71	Wien	16.3736767	48.2115631	female	Austria	77	8	57	56	58	average	48	0	-1	2012-02-20 00:00:00	2	4	0	1200	9680	10880	private	sunny	10.9	24.91
21	Pardubice	15.780415	50.0409775	male	CR	78	2	61	66	33	average	55	0	-1	2012-02-20 00:00:00	1	2	0	0	2420	2420	business	sunny	10.9	24.91
64	Pardubice	15.780415	50.0409775	male	CR	79	2	51	58	41	average	57	0	-1	2012-02-20 00:00:00	1	2	0	0	2420	2420	business	sunny	10.9	24.91
29	Pardubice	15.780415	50.0409775	female	CR	80	2	63	55	59	average	54	0	-1	2012-02-20 00:00:00	1	2	0	0	2420	2420	business	sunny	10.9	24.91
25	Pardubice	15.780415	50.0409775	male	CR	81	2	57	59	33	average	55	0	-1	2012-02-20 00:00:00	1	2	0	300	2420	2720	business	sunny	10.9	24.91
60	München	11.5836375	48.1364669	female	Germany	82	4	34	49	41	average	59	0	-1	2012-02-20 00:00:00	2	2	0	600	4840	5440	private	sunny	10.9	24.91
30	Pardubice	15.780415	50.0409775	male	CR	83	2	57	56	58	average	45	0	-1	2012-02-20 00:00:00	1	2	0	300	2420	2720	business	sunny	10.9	24.91
31	Pardubice	15.780415	50.0409775	female	CR	84	2	49	41	41	average	56	0	-1	2012-02-20 00:00:00	1	2	0	300	2420	2720	business	sunny	10.9	24.91
60	Nitra	18.0902903	48.3139558	female	Slovakia	85	2	26	93	95	high	64	0	-1	2012-02-22 00:00:00	1	2	0	300	2420	2720	business	sunny	10.8	25.17
34	Hradec Králové	15.8353464	50.2100194	female	CR	86	63	56	86	88	high	90	-1	-1	2012-02-22 00:00:00	21	3	200	9450	76230	85480	private	sunny	10.8	25.17
30	Hradec Králové	15.8353464	50.2100194	male	CR	87	21	58	99	88	high	76	-1	-1	2012-02-22 00:00:00	21	1	200	3150	25410	28360	private	sunny	10.8	25.17
51	Nitra	18.0902903	48.3139558	male	Slovakia	88	2	27	93	89	high	99	0	-1	2012-02-22 00:00:00	1	2	0	300	2420	2720	business	sunny	10.8	25.17
65	Nitra	18.0902903	48.3139558	male	Slovakia	89	2	54	100	87	high	99	0	-1	2012-02-22 00:00:00	1	2	0	0	2420	2420	business	sunny	10.8	25.17
50	Wien	16.3736767	48.2115631	male	Austria	90	2	33	57	33	average	69	0	-1	2012-02-22 00:00:00	2	1	0	300	2420	2720	private	sunny	10.8	25.17
51	Nitra	18.0902903	48.3139558	male	Slovakia	91	2	49	89	84	high	99	0	-1	2012-02-22 00:00:00	1	2	0	300	2420	2720	business	sunny	10.8	25.17
53	Hradec Králové	15.8353464	50.2100194	male	CR	92	42	21	96	86	high	98	-1	-1	2012-02-22 00:00:00	21	2	200	6300	50820	56920	private	sunny	10.8	25.17
34	Jihlava	15.5909008	49.3963828	male	CR	93	2	60	99	87	high	98	0	-1	2012-02-22 00:00:00	1	2	0	0	2420	2420	business	sunny	10.8	25.17
35	Linz	14.2862742	48.3066489	male	Austria	94	2	21	100	99	high	87	0	-1	2012-02-23 00:00:00	1	2	0	300	2420	2720	business	rain/snow	3.3	25.07
36	Linz	14.2862742	48.3066489	female	Austria	95	3	49	88	81	high	62	0	-1	2012-02-23 00:00:00	1	3	0	0	3630	3630	business	rain/snow	3.3	25.07
49	Linz	14.2862742	48.3066489	male	Austria	96	2	54	91	94	high	92	0	-1	2012-02-23 00:00:00	1	2	0	300	2420	2720	business	rain/snow	3.3	25.07
45	Jihlava	15.5909008	49.3963828	male	CR	97	2	25	85	97	high	75	0	-1	2012-02-23 00:00:00	1	2	0	300	2420	2720	business	rain/snow	3.3	25.07
30	Linz	14.2862742	48.3066489	male	Austria	98	2	27	100	93	high	98	0	-1	2012-02-23 00:00:00	1	2	0	0	2420	2420	business	rain/snow	3.3	25.07
65	Linz	14.2862742	48.3066489	male	Austria	99	2	23	99	90	high	85	0	-1	2012-02-23 00:00:00	1	2	0	0	2420	2420	business	rain/snow	3.3	25.07
66	Linz	14.2862742	48.3066489	male	Austria	100	2	51	97	99	high	88	0	-1	2012-02-23 00:00:00	1	2	0	300	2420	2720	business	rain/snow	3.3	25.07
67	Olomouc	17.2498364	49.5961789	male	CR	101	32	34	57	28	average	42	-1	-1	2012-02-23 00:00:00	16	2	200	4800	38720	43320	private	rain/snow	3.3	25.07
70	Bratislava	17.1097606	48.1547933	female	Slovakia	102	4	58	59	28	average	47	-1	-1	2012-02-24 00:00:00	2	2	200	0	4840	4640	private	sunny	5.2	25.03
25	Bratislava	17.1097606	48.1547933	female	Slovakia	103	2	47	59	27	average	58	-1	-1	2012-02-24 00:00:00	2	1	200	300	2420	2520	private	sunny	5.2	25.03
51	Dresden	13.7397044	51.0497456	male	Germany	104	4	63	53	35	average	57	-1	-1	2012-02-24 00:00:00	2	2	200	600	4840	5240	private	sunny	5.2	25.03
21	Praha	14.4212806	50.0874967	male	CR	105	4	57	51	27	average	55	-1	-1	2012-02-24 00:00:00	2	2	200	600	4840	5240	private	sunny	5.2	25.03
47	Wien	16.3736767	48.2115631	female	Austria	106	21	33	55	43	average	70	-1	-1	2012-02-24 00:00:00	7	3	200	3150	25410	28360	private	sunny	5.2	25.03
55	Dresden	13.7397044	51.0497456	female	Germany	107	28	46	53	49	average	59	-1	-1	2012-02-24 00:00:00	7	4	200	0	33880	33680	private	sunny	5.2	25.03
43	Dresden	13.7397044	51.0497456	male	Germany	108	8	51	54	51	average	42	-1	-1	2012-02-24 00:00:00	2	4	200	1200	9680	10680	private	sunny	5.2	25.03
18	Dresden	13.7397044	51.0497456	male	Germany	109	14	33	66	50	average	54	-1	-1	2012-02-24 00:00:00	7	2	200	2100	16940	18840	private	sunny	5.2	25.03
73	Wien	16.3736767	48.2115631	male	Austria	110	21	60	52	43	average	43	-1	-1	2012-02-24 00:00:00	7	3	200	0	25410	25210	private	sunny	5.2	25.03
55	Dresden	13.7397044	51.0497456	female	Germany	111	8	47	53	52	average	53	-1	-1	2012-02-24 00:00:00	2	4	200	1200	9680	10680	private	sunny	5.2	25.03
22	Praha	14.4212806	50.0874967	male	CR	112	14	3	26	32	low	39	-1	-1	2012-02-24 00:00:00	14	1	200	2100	16940	18840	private	sunny	5.2	25.03
24	Dresden	13.7397044	51.0497456	female	Germany	113	4	60	44	26	average	60	0	-1	2012-02-27 00:00:00	2	2	0	600	4840	5440	private	sunny	14.9	25.05
51	Dresden	13.7397044	51.0497456	female	Germany	114	4	36	43	36	average	42	0	-1	2012-02-27 00:00:00	2	2	0	600	4840	5440	private	sunny	14.9	25.05
79	Dresden	13.7397044	51.0497456	male	Germany	115	4	57	53	44	average	55	0	-1	2012-02-27 00:00:00	2	2	0	600	4840	5440	private	sunny	14.9	25.05
19	Dresden	13.7397044	51.0497456	female	Germany	116	4	33	50	33	average	42	0	-1	2012-02-27 00:00:00	2	2	0	0	4840	4840	private	sunny	14.9	25.05
79	Jihlava	15.5909008	49.3963828	female	CR	117	4	47	49	26	average	59	0	-1	2012-02-27 00:00:00	2	2	0	600	4840	5440	private	sunny	14.9	25.05
64	Salzburg	13.0475658	47.798095	female	Austria	118	4	53	89	90	high	88	0	-1	2012-02-29 00:00:00	1	4	0	600	4840	5440	business	rain/snow	10.9	24.84
29	Nitra	18.0902903	48.3139558	female	Slovakia	119	2	59	82	85	high	88	0	-1	2012-02-29 00:00:00	1	2	0	300	2420	2720	business	rain/snow	10.9	24.84
68	Zlín	17.6700633	49.2280669	male	CR	120	2	33	56	36	average	60	0	-1	2012-02-29 00:00:00	2	1	0	0	2420	2420	private	rain/snow	10.9	24.84
75	Olomouc	17.2498364	49.5961789	female	CR	121	32	63	41	28	average	41	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
51	Olomouc	17.2498364	49.5961789	female	CR	122	32	46	44	34	average	42	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
82	Olomouc	17.2498364	49.5961789	male	CR	123	32	47	65	28	average	56	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
31	Olomouc	17.2498364	49.5961789	male	CR	124	32	46	55	52	average	70	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
76	Praha	14.4212806	50.0874967	female	CR	125	32	48	68	35	average	56	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
27	Linz	14.2862742	48.3066489	female	Austria	126	2	21	93	95	high	75	0	0	2012-03-01 00:00:00	1	2	0	0	2420	2420	business	rain/snow	8.5	24.89
22	Olomouc	17.2498364	49.5961789	male	CR	127	32	36	68	41	average	43	-1	0	2012-03-01 00:00:00	16	2	200	0	38720	38520	private	rain/snow	8.5	24.89
77	Kladno	14.1022533	50.1484586	male	CR	128	4	35	56	59	average	60	-1	0	2012-03-02 00:00:00	2	2	200	0	4840	4640	private	cloudy	14.0	24.71
53	Olomouc	17.2498364	49.5961789	female	CR	129	6	52	59	52	average	46	-1	0	2012-03-02 00:00:00	2	3	200	0	7260	7060	private	cloudy	14.0	24.71
20	Kladno	14.1022533	50.1484586	male	CR	130	4	36	55	42	average	71	-1	0	2012-03-02 00:00:00	2	2	200	0	4840	4640	private	cloudy	14.0	24.71
21	Kladno	14.1022533	50.1484586	male	CR	131	2	51	66	58	average	48	-1	0	2012-03-02 00:00:00	2	1	200	0	2420	2220	private	cloudy	14.0	24.71
68	Kladno	14.1022533	50.1484586	female	CR	132	2	51	68	41	average	70	-1	0	2012-03-02 00:00:00	2	1	200	0	2420	2220	private	cloudy	14.0	24.71
20	Ostrava	18.2825511	49.8341497	male	CR	133	28	22	93	90	high	89	-1	0	2012-03-02 00:00:00	7	4	200	0	33880	33680	private	cloudy	14.0	24.71
56	Zlín	17.6700633	49.2280669	female	CR	134	4	36	67	49	average	44	-1	0	2012-03-02 00:00:00	2	2	200	0	4840	4640	private	cloudy	14.0	24.71
19	Zlín	17.6700633	49.2280669	male	CR	135	14	50	82	96	high	98	-1	0	2012-03-03 00:00:00	7	2	600	0	16940	16340	private	sunny	12.0	24.71
82	Zlín	17.6700633	49.2280669	female	CR	136	28	55	96	86	high	75	-1	0	2012-03-03 00:00:00	7	4	600	0	33880	33280	private	sunny	12.0	24.71
81	Zlín	17.6700633	49.2280669	male	CR	137	28	50	86	87	high	90	-1	0	2012-03-03 00:00:00	7	4	600	0	33880	33280	private	sunny	12.0	24.71
65	Budweis	14.4757883	48.9763169	male	CR	138	1	53	29	16	low	39	0	0	2012-03-04 00:00:00	1	1	200	0	1210	1010	private	sunny	6.6	24.71
31	Karlovy Vary	12.8690381	50.2311075	female	CR	139	1	51	44	33	average	57	0	0	2012-03-05 00:00:00	1	1	0	0	1210	1210	business	sunny	6.3	24.77
43	Berlin	13.3908886	52.5176189	male	Germany	140	6	49	68	26	average	71	0	0	2012-03-05 00:00:00	2	3	0	0	7260	7260	private	sunny	6.3	24.77
32	Dresden	13.7397044	51.0497456	male	Germany	141	4	57	44	28	average	69	0	0	2012-03-05 00:00:00	2	2	0	0	4840	4840	private	sunny	6.3	24.77
20	Jihlava	15.5909008	49.3963828	female	CR	142	1	69	37	39	low	28	0	0	2012-03-05 00:00:00	1	1	0	0	1210	1210	business	sunny	6.3	24.77
22	Wien	16.3736767	48.2115631	female	Austria	143	2	33	43	36	average	70	0	0	2012-03-07 00:00:00	2	1	0	0	2420	2420	private	cloudy	9.2	24.87
25	Olomouc	17.2498364	49.5961789	male	CR	144	32	34	59	60	average	44	-1	0	2012-03-08 00:00:00	16	2	200	0	38720	38520	private	sunny	10.0	24.77
51	Olomouc	17.2498364	49.5961789	female	CR	145	32	49	43	50	average	46	-1	0	2012-03-08 00:00:00	16	2	200	0	38720	38520	private	sunny	10.0	24.77
80	Berlin	13.3908886	52.5176189	female	Germany	146	2	60	68	25	average	53	-1	0	2012-03-09 00:00:00	2	1	200	0	2420	2220	private	sunny	12.3	24.72
21	Kladno	14.1022533	50.1484586	female	CR	147	4	52	60	43	average	57	-1	0	2012-03-09 00:00:00	2	2	200	0	4840	4640	private	sunny	12.3	24.72
66	Ostrava	18.2825511	49.8341497	male	CR	148	21	26	96	91	high	74	-1	0	2012-03-09 00:00:00	7	3	200	0	25410	25210	private	sunny	12.3	24.72
36	Ostrava	18.2825511	49.8341497	male	CR	149	28	56	86	82	high	98	-1	0	2012-03-09 00:00:00	7	4	200	0	33880	33680	private	sunny	12.3	24.72
81	Kladno	14.1022533	50.1484586	male	CR	150	4	50	50	58	average	56	-1	0	2012-03-09 00:00:00	2	2	200	0	4840	4640	private	sunny	12.3	24.72
21	Dresden	13.7397044	51.0497456	male	Germany	151	2	34	50	43	average	47	-1	0	2012-03-09 00:00:00	2	1	200	0	2420	2220	private	sunny	12.3	24.72
20	Zlín	17.6700633	49.2280669	male	CR	152	14	57	98	94	high	91	-1	0	2012-03-10 00:00:00	7	2	600	0	16940	16340	private	cloudy	8.9	24.72
65	Zlín	17.6700633	49.2280669	female	CR	153	7	56	96	87	high	64	-1	0	2012-03-10 00:00:00	7	1	600	0	8470	7870	private	cloudy	8.9	24.72
29	Jihlava	15.5909008	49.3963828	female	CR	154	21	56	87	95	high	88	-1	0	2012-03-10 00:00:00	7	3	600	0	25410	24810	private	cloudy	8.9	24.72
21	Wien	16.3736767	48.2115631	male	Austria	155	14	54	96	86	high	73	-1	0	2012-03-10 00:00:00	7	2	600	0	16940	16340	private	cloudy	8.9	24.72
20	Zlín	17.6700633	49.2280669	female	CR	156	14	55	100	88	high	92	-1	0	2012-03-10 00:00:00	7	2	600	0	16940	16340	private	cloudy	8.9	24.72
74	Zlín	17.6700633	49.2280669	female	CR	157	14	58	98	87	high	73	-1	0	2012-03-10 00:00:00	7	2	600	0	16940	16340	private	cloudy	8.9	24.72
43	Budweis	14.4757883	48.9763169	female	CR	158	1	45	21	31	low	27	0	0	2012-03-11 00:00:00	1	1	200	0	1210	1010	private	sunny	6.3	24.72
